k2,k_2,k3,k_3,k4,k5,k_5,k6,deg_ratio,k7,k_7,k8,k_8,k9,k_9,k10,k11,k_11,k12,k13,k_13,k14,k15,k_15,k16,k17b,k18a,k18b,k19,k20,k21,k_21,k22,k23,k24,k25a,k25b,k26,k27,k28,k29,totalSTAT,RJ,SHP2,PPX,PPN,vl_loc
0.0001794,0.0014431,0.20766,18.389,0.00050858,0.00031453,1.6863,0.31284,9.4854,0.00043016,0.0064932,0.0048652,0.0073522,0.00045934,0.037288,0.015426,0.00064044,0.85471,0.018922,2.81E-08,0.0054603,0.030395,0.02222,0.69102,0.00033009,0.00096245,0.037986,32351,0.0001064,0.86157,0.0038738,0.19345,1.50E-05,0.0002353,0.013565,0.0029363,42.02,9.89E-05,0.00027607,0.016197,0.008261,38837,1.1149,5.8008,162.79,0.79904,6240
0.00064006,0.00028425,0.9085,0.02587,6.62E-05,0.060964,15.501,26.252,8.7572,0.089266,33.329,0.12294,0.21875,0.00064713,0.6874,4.54E-05,0.00024938,0.07018,0.0058962,3.03E-07,0.013447,0.11593,0.0020591,0.0028246,0.0010767,4.2201,0.092156,635.07,1.14E-05,0.0005614,0.00075189,1.3848,3.34E-05,5.25E-05,9.55E-06,0.003663,85.022,1.18E-05,0.00051083,0.84111,0.00012493,2236,62.144,1.7902,66.989,4548.5,5700
0.0029588,0.066333,0.078502,0.20768,0.26624,0.09463,42.776,10.265,8.0366,0.044391,2.6223,0.0013959,0.011859,0.066226,2.6592,0.0015599,0.00056592,0.020526,0.0005334,5.79E-08,0.12961,0.002681,2.65E-05,0.090353,0.43752,0.22181,0.0024031,80.382,8.29E-05,0.029713,0.00045149,0.0011705,8.53E-06,0.0001388,0.0010426,0.0011741,965.5,0.032052,8.53E-05,0.25964,0.00043111,908.32,110.81,4008.6,1100.3,167.37,5160
0.00010545,0.55191,2.7296,0.074989,0.036611,0.010769,22.83,0.010898,4.4983,0.0016892,1.6135,0.028068,2.4358,0.066477,0.010222,0.00051955,0.00014054,0.23575,0.0016017,4.05E-06,1.7677,0.42256,0.00028895,16.564,0.49607,0.0076532,0.0011812,51.033,0.0002873,0.00011373,0.33499,0.24487,0.00093471,0.013529,0.0034982,0.086478,15478,0.091585,0.021131,0.00010479,0.00015169,1297.1,1.2361,8.4102,1112.5,1.4296,5940
0.00020028,0.0042333,0.013513,9.9264,0.003636,0.095193,0.77641,22.16,24.749,0.0087724,7.2292,0.0097784,1.9784,1.35E-05,0.035395,0.00016514,0.0079132,4.6334,0.013335,1.39E-07,0.19668,0.00023923,1.86E-05,0.45236,0.00038003,0.011908,0.24418,16385,0.00024444,0.047045,0.00042886,0.036163,0.00010449,2.13E-05,3.81E-05,0.020411,490.06,0.0039984,0.0025778,0.031361,0.56924,70.808,26.633,109.24,40.942,28.373,6600
1.98E-05,0.0098452,0.11566,0.13646,0.011107,0.00045435,0.09904,0.006051,5.9662,0.00035119,0.02123,0.0483,7.4541,3.94E-05,0.007602,0.014535,0.008623,1.0011,0.19847,4.97E-07,3.2154,0.0013609,5.44E-05,3.36,0.00025698,1.7086,0.00067716,26444,0.029289,0.0016844,0.18583,0.024749,0.010074,1.89E-05,0.000596,0.050436,1137.3,0.023047,0.022357,0.024346,0.045349,214.09,201.63,6.1863,8.2468,3708,5940
0.00016752,0.00068171,0.063964,1.034,0.0013532,0.07924,67.361,25.039,3.0182,0.022155,0.32667,0.14548,0.66926,5.38E-05,0.2038,0.00068717,0.070877,0.042992,3.15E-05,1.21E-06,7.1934,0.10231,0.037152,0.55295,0.30727,0.0029099,0.015755,17.959,0.016094,0.00096962,0.75592,0.023129,0.00014156,0.0059924,1.39E-05,0.00011305,8791.8,0.010939,0.00025307,0.0012582,0.11045,169.36,121.41,7947.9,0.70183,5386.2,420
6.97E-06,9.38E-05,0.096986,0.16466,0.0014975,0.033029,14.011,2.8617,36.005,0.0054694,0.030703,0.00023456,0.013398,3.37E-05,0.032451,3.59E-05,0.00030368,1.7938,0.28917,2.99E-08,9.7605,0.00032344,0.0012144,1.8122,5.57E-05,0.0021522,0.012396,35921,0.030217,0.56083,0.0019406,0.010602,0.00086857,0.001716,0.01572,0.0022555,54.387,0.00014351,1.05E-05,0.0014311,0.00032018,212.25,51.634,1.3509,423.16,80.105,8340
4.82E-05,0.40923,0.89141,0.42544,0.0021557,0.33229,1.8253,0.0041962,4.1398,0.014826,0.087274,1.6737,0.011548,0.028144,11.934,0.012105,4.33E-05,14.084,0.00030021,2.78E-07,1.74,0.044636,0.037893,1.2402,0.42851,0.098465,0.78278,9.0107,6.22E-05,0.013747,0.0028864,2.7446,9.92E-06,0.0010335,0.00201,0.35301,4.0624,0.011609,0.00014728,0.0092834,0.070195,796.93,61.501,94.595,1.7792,119.97,3420
0.00010364,0.10645,0.017451,0.049038,0.0031753,0.0017427,1.4257,1.4798,26.144,0.19473,0.054656,0.050709,0.08349,0.00092393,0.2836,0.0065826,1.56E-05,0.0022506,0.0020403,9.20E-07,0.9619,0.001122,1.13E-05,0.057322,0.12838,0.0021784,0.051175,26575,0.032075,0.0032483,0.00030629,0.030107,3.46E-05,0.00087733,0.020844,0.032375,10019,0.016487,0.017615,0.82185,0.02899,142.42,253.37,113.34,1630,0.91406,3060
0.0012905,0.0047906,0.001222,0.0039279,0.26296,0.052075,0.95298,3.4111,32.477,0.2338,1.4554,0.00030951,0.2802,0.00051345,0.06413,7.60E-05,0.00026583,0.0039666,0.21492,1.24E-08,8.4872,0.045963,0.0079833,0.36071,0.061504,0.018923,0.00087699,768.58,1.50E-05,0.12664,0.0098931,0.086797,0.0048741,0.014966,0.00056507,0.017326,5.5171,0.00026149,0.01814,0.066319,0.004122,1362,291.36,1.0943,43.016,19.544,2520
0.0011408,0.011439,0.0058104,0.94133,0.0049661,0.014476,3.8672,0.43281,51.091,6.93E-05,3.9196,0.00032928,0.0095645,0.040343,0.0093708,0.13092,2.45E-05,0.0039305,0.0025791,1.84E-07,15.093,0.065032,0.00042563,11.699,0.00037003,0.46467,0.011766,9.5173,0.00067185,0.2371,0.00022325,0.70963,0.045612,0.0032535,1.56E-05,0.51138,9593,0.00020645,0.02959,0.16581,0.00026153,4498.9,104.34,381.04,17.431,89.014,12900
4.49E-05,0.0078773,0.72472,0.020505,0.0064012,0.0001422,1.2725,8.5062,7.249,9.45E-05,0.017377,0.011118,0.0033164,1.64E-05,7.9055,0.035801,0.00027793,0.0063022,0.0029337,1.16E-05,0.013827,0.33172,0.003285,0.0034678,8.56E-05,0.10601,0.00039802,49.304,0.00019242,0.00010244,1.1702,7.9139,0.00026719,0.0032674,0.04021,0.73562,5.3684,0.00015784,0.040322,0.00022692,0.009714,12.47,0.12001,45.421,46.983,834.26,8100
2.45E-05,0.00047723,1.3649,5.2064,0.0022909,0.00012951,13.574,0.13266,3.2573,0.00029829,3.8042,0.070899,1.7326,5.71E-05,0.75113,3.34E-05,0.0059919,0.28754,0.0076691,1.56E-08,0.036898,0.00022352,0.00020843,0.63227,0.015843,0.0081555,0.0001387,176.78,0.0063554,0.029205,0.00077247,1.5745,0.00051571,0.0070342,0.00023069,0.013748,723.59,0.0042102,0.0089098,0.013346,0.017883,235.45,182.43,7.4351,29.813,5.6378,10020
2.86E-05,0.0090738,2.4389,1.0054,0.14398,0.00027779,0.51312,0.094309,5.1021,0.00021046,0.017483,0.064344,0.0027545,4.16E-05,0.035522,0.078133,0.018919,0.0068668,0.091006,1.25E-05,0.0031471,0.042467,0.00014091,4.5085,0.48159,0.0044912,0.00029202,1803.3,0.00065548,0.15486,0.00082444,0.051391,6.74E-05,6.09E-05,6.27E-06,0.24987,20475,0.011388,0.0080578,0.0015155,0.0050468,57.426,25.742,13.627,16.684,0.8195,5280
3.58E-05,0.0046801,3.7144,0.0046285,0.00021644,0.039246,0.48752,0.0439,20.607,0.047114,5.3251,0.68506,0.014021,0.0040957,15.615,0.0027113,0.0008963,0.014395,0.0018113,7.17E-09,3.6395,7.80E-05,1.17E-05,1.5151,0.00026867,1.3385,0.0001071,8532.8,0.0063235,0.0067813,0.0068509,0.0062467,1.44E-05,2.65E-05,0.0091357,0.059996,10456,0.0055451,2.67E-05,0.01778,0.00069904,53.151,120.6,574.89,37.951,156.83,6360
1.42E-05,0.12386,0.10609,0.0028337,0.27436,0.00012008,0.15501,0.087124,11.676,8.61E-05,0.0056986,0.0035097,0.10658,0.00029921,0.71308,0.19936,0.00069649,0.78708,0.10122,2.68E-08,0.033604,0.0020543,0.00011084,0.026367,0.15505,2.9242,0.082042,287.69,0.00015462,0.16394,0.24244,0.014846,0.0006158,7.79E-05,0.0027903,0.85325,858.76,0.00055092,0.00086505,0.00018623,0.015162,56965,98.731,3512.3,340.97,3.3029,17280
0.00074129,0.08166,1.6458,1.5739,0.00056616,0.00039969,4.3411,1.3088,41.663,0.039586,0.051518,0.0096544,0.001095,2.00E-05,6.3822,0.060237,0.0029258,12.535,3.67E-05,6.84E-09,0.4828,0.0022125,0.00019781,0.0025439,0.092647,0.055739,0.012532,5.7104,0.0046631,0.00088214,0.0076892,0.0037035,0.00026235,2.00E-05,0.00019612,0.0034848,13.32,1.03E-05,3.84E-05,0.21948,0.0002163,76072,0.1417,130.46,195,8.3435,7980
0.0003034,0.0017362,0.00052355,2.4741,0.010032,0.00077089,71.272,1.5401,21.172,0.010996,5.5322,0.54842,3.6387,1.21E-05,0.0022328,0.0028265,0.0012876,0.036241,0.00010103,2.64E-08,0.12127,0.0077744,0.018892,2.5222,0.033769,0.00084214,0.93488,64.349,0.0015928,0.83497,1.5317,1.3937,0.021477,6.65E-05,0.0076921,0.0008188,477.19,0.00014109,0.00051544,0.25002,0.0018531,26692,232.42,3398.3,35.093,1205.8,5700
